"BFS_n","municipality","0","1 - 30'000","30'001 - 40'000","40'001 - 50'000","50'001 - 75'000","75'001 - 100'000","100'001 - 200'000","200'001 - 500'000","500'001 - 1'000'000","1'000'001 - u.m./et plus","Total / Totale"
1,"Aeugst am Albis",0,2525400,1917000,3208900,10791200,9392800,33305100,25665100,4424500,0,96201500
2,"Affoltern am Albis",0,17683300,17451100,31639500,91004400,69539900,126582100,52055200,6133400,0,416365800
3,"Bonstetten",0,5841100,5655400,8733700,34097700,36156400,87425700,40473500,4009500,0,223778600
4,"Hausen am Albis",0,4308800,4281600,8047200,22539700,22606900,57203100,25233300,2600200,0,171532900
5,"Hedingen",0,4293000,3870200,6487200,24133800,22675500,55452500,33615900,9359100,0,162204700
6,"Kappel am Albis",0,1306600,1274700,2163800,8205600,7295700,18308400,10501000,2123400,0,52256400
7,"Knonau",0,2440700,2673800,4048400,14284900,13660800,32742100,14199800,0,0,85610000
8,"Maschwanden",0,622800,1073000,1609500,4559300,3698100,7444400,3275400,0,0,22282500
9,"Mettmenstetten",0,5910400,5975300,10372200,35289100,31859100,82649000,35983200,4363100,0,216655200
10,"Obfelden",0,6192700,7176600,11876300,37838000,33082600,72809500,23422700,3407000,0,197905900
11,"Ottenbach",0,3208300,3534300,5300400,19366300,16623400,41815500,14346600,3076500,0,108318200
12,"Rifferswil",0,1149500,1335800,1717500,6092700,5439000,18575900,9584600,0,0,45757400
13,"Stallikon",0,3237100,2624800,5806000,21124600,21797200,68467700,36074000,5913100,0,166014400
14,"Wettswil am Albis",0,4290900,4695700,6625100,26942200,28228500,90624700,70677500,14797300,17494400,264376300
22,"Benken (ZH)",0,1373600,1253400,2008900,5175100,5049800,10609500,4229600,2474900,0,33292700
23,"Berg am Irchel",0,740800,651200,1174900,4639700,5636000,6973400,4140600,0,0,35847100
24,"Buch am Irchel",0,1155800,947800,1735600,7216100,5501500,16843600,5767500,0,0,39167900
25,"Dachsen",0,2256200,1899200,3565000,11602900,12782500,27225800,7411500,4047600,0,70790700
26,"Dorf",0,525400,837700,1304500,4879700,4362500,10248600,2610300,0,0,25271500
27,"Feuerthalen",0,4668600,5124900,9174300,28569000,23534700,40459200,12860400,2964100,0,133480800
28,"Flaach",0,1548500,1683400,3080200,10959900,9193000,18761000,4954400,0,0,50180400
29,"Flurlingen",0,1784500,1593200,2742300,10266900,10125300,24732600,10122900,0,0,64780900
31,"Henggart",0,2603600,3274700,4525500,14749500,14045900,32725600,9004300,0,0,82072700
33,"Kleinandelfingen",0,2925200,2569100,4331600,15094900,13573100,29357000,9799400,0,0,79409700
34,"Laufen-Uhwiesen",0,1939800,1931600,3817100,12929000,10650600,25632300,13931000,3655900,0,76681600
35,"Marthalen",0,2148200,2378100,4670900,15649700,11778200,24292600,7815300,3535800,0,72268800
37,"Ossingen",0,2404700,2014900,4165100,12704600,12082400,22155700,5019700,0,0,60547100
38,"Rheinau",0,1932200,1428900,3024300,9042600,7817900,14935200,3711600,0,0,42490900
39,"Thalheim an der Thur",0,1185500,947000,1954700,8481100,6251000,12561800,3148900,0,0,37150800
40,"Trüllikon",0,1568700,1307500,2631000,7537100,6223300,13788500,3363300,0,0,37127900
41,"Truttikon",0,698300,377600,830000,3324300,3015200,5050200,2131500,0,0,15427100
43,"Volken",0,360300,645400,706100,2543200,2650900,4280600,2091900,0,0,14079300
51,"Bachenbülach",0,5423800,4312200,9601800,28202600,27773100,46511300,19644600,2371800,7869500,151710700
52,"Bassersdorf",0,13871500,12812900,23947900,87152600,75002700,153549300,47303800,6762400,0,423006600
53,"Bülach",0,27199400,29432100,53281600,176427800,135394600,236440700,68347500,9865200,5211000,741599900
54,"Dietlikon",0,9802400,10418800,16959800,56475800,48529700,96731500,38078700,7797200,0,288648500
55,"Eglisau",0,5443700,5853800,8691600,35204700,32958300,77679200,28052800,3138500,6646900,203669500
56,"Embrach",0,12561900,13502100,24288100,73296600,55177900,94651900,29927400,4547600,6323900,314277400
57,"Freienstein-Teufen",0,3323100,2863100,4734300,14952000,15311400,35397800,11625800,2979400,0,91186900
58,"Glattfelden",0,6470000,6904200,10668200,40405300,31054700,67060500,15394900,0,0,178543200
59,"Hochfelden",0,2309200,2395100,4389800,11729600,12203500,28009500,8014500,0,0,71558700
60,"Höri",0,4159200,4023800,6924400,21552900,16269600,23731700,8252600,0,0,87944100
61,"Hüntwangen",0,1290300,1068500,2161900,7065100,7710600,15700600,5680200,0,0,42111600
62,"Kloten",0,29368100,31092700,53798200,166098000,122285100,184924400,54021600,11874500,0,656100300
63,"Lufingen",0,2188600,2120900,4772500,18040900,16989300,42028000,18201600,3180600,0,107522400
