"BFS_n","municipality","0","1 - 30'000","30'001 - 40'000","40'001 - 50'000","50'001 - 75'000","75'001 - 100'000","100'001 - 200'000","200'001 - 500'000","500'001 - 1'000'000","1'000'001 - u.m./et plus","Total / Totale"
1,"Aeugst am Albis",0,261,61,76,189,119,275,100,6,0,1092
2,"Affoltern am Albis",5,1538,546,771,1632,933,1104,206,9,0,6746
3,"Bonstetten",0,561,177,211,598,464,748,166,7,0,2934
4,"Hausen am Albis",4,438,135,195,406,299,479,100,5,0,2064
5,"Hedingen",0,407,121,154,425,296,465,129,15,0,2017
6,"Kappel am Albis",0,124,40,52,144,95,155,41,4,0,656
7,"Knonau",0,224,82,98,254,179,288,59,0,0,1189
8,"Maschwanden",0,63,34,40,83,48,66,13,0,0,347
9,"Mettmenstetten",0,573,191,254,616,420,705,146,7,0,2915
10,"Obfelden",0,584,228,294,676,448,641,99,5,0,2979
11,"Ottenbach",0,281,110,127,341,215,359,59,5,0,1499
12,"Rifferswil",0,112,43,41,108,69,163,37,0,0,578
13,"Stallikon",0,354,86,140,366,283,565,142,10,0,1949
14,"Wettswil am Albis",0,476,151,162,467,358,728,280,24,12,2661
22,"Benken (ZH)",0,120,39,48,91,65,91,16,4,0,475
23,"Berg am Irchel",0,65,21,28,82,73,61,15,0,0,347
24,"Buch am Irchel",0,106,29,43,129,75,146,24,0,0,552
25,"Dachsen",0,224,59,87,207,165,234,31,7,0,1016
26,"Dorf",0,66,26,31,84,59,91,11,0,0,370
27,"Feuerthalen",0,437,165,221,507,316,360,50,5,0,2064
28,"Flaach",0,142,53,74,194,124,165,18,0,0,770
29,"Flurlingen",0,186,51,65,179,130,205,40,0,0,860
31,"Henggart",0,253,103,109,264,189,289,36,0,0,1246
33,"Kleinandelfingen",0,248,81,104,270,180,254,40,0,0,1181
34,"Laufen-Uhwiesen",0,190,60,92,226,135,218,54,6,0,984
35,"Marthalen",0,187,77,114,277,156,208,31,6,0,1056
37,"Ossingen",0,207,64,100,231,159,195,19,0,0,975
38,"Rheinau",0,178,44,73,159,105,132,16,0,0,709
39,"Thalheim an der Thur",0,100,30,46,153,83,112,13,0,0,541
40,"Trüllikon",0,125,43,64,134,85,121,13,0,0,587
41,"Truttikon",0,61,12,21,61,41,46,10,0,0,252
43,"Volken",0,42,20,17,46,35,38,9,0,0,208
51,"Bachenbülach",0,507,138,233,508,367,405,76,4,5,2243
52,"Bassersdorf",0,1308,406,580,1561,984,1338,194,11,0,6387
53,"Bülach",12,2419,926,1291,3150,1818,2084,275,17,4,11996
54,"Dietlikon",0,882,331,405,1008,637,831,152,13,0,4263
55,"Eglisau",6,537,184,213,620,436,663,112,5,4,2780
56,"Embrach",0,1093,433,585,1328,743,851,119,7,4,5166
57,"Freienstein-Teufen",0,289,90,115,268,203,305,44,5,0,1320
58,"Glattfelden",0,559,220,257,717,419,579,65,0,0,2817
59,"Hochfelden",0,217,75,106,211,162,246,33,0,0,1053
60,"Höri",0,340,127,169,396,225,216,36,0,0,1514
61,"Hüntwangen",0,118,35,51,124,100,132,22,0,0,583
62,"Kloten",6,2554,973,1304,2972,1632,1626,219,19,0,11307
63,"Lufingen",0,206,66,115,317,220,356,72,5,0,1357
64,"Nürensdorf",0,612,189,249,721,505,746,163,15,6,3208
65,"Oberembrach",0,92,46,58,166,105,132,20,0,0,624
66,"Opfikon",4,2232,901,1221,2712,1648,1750,265,13,0,10747
67,"Rafz",0,452,165,273,593,412,487,72,8,0,2466
68,"Rorbas",0,300,106,148,357,245,271,34,0,0,1462
69,"Wallisellen",0,1742,637,895,2198,1434,1895,411,41,8,9262
70,"Wasterkingen",0,60,23,35,84,65,60,7,0,0,334
71,"Wil (ZH)",0,154,44,61,164,116,188,25,6,0,760
72,"Winkel",0,436,156,210,538,455,664,201,32,9,2703
81,"Bachs",0,60,30,34,71,64,80,10,0,0,350
82,"Boppelsen",0,156,38,49,129,111,206,59,7,5,760
83,"Buchs (ZH)",0,721,244,355,895,543,630,96,11,0,3497
84,"Dällikon",0,468,172,206,548,371,447,56,0,0,2271
85,"Dänikon",0,195,63,104,220,145,178,41,0,0,949
86,"Dielsdorf",0,654,246,363,793,479,561,66,6,0,3174
87,"Hüttikon",0,63,16,27,94,60,140,29,0,0,431
88,"Neerach",0,291,97,138,414,308,501,141,16,4,1911
89,"Niederglatt",0,582,199,318,616,404,516,63,0,0,2700
90,"Niederhasli",0,1005,401,533,1252,797,907,103,10,0,5011
91,"Niederweningen",0,379,113,136,328,229,391,72,0,0,1655
92,"Oberglatt",0,845,348,430,1019,609,561,37,0,0,3854
93,"Oberweningen",0,209,62,112,222,167,213,36,0,0,1026
94,"Otelfingen",0,281,99,126,351,236,337,72,0,0,1505
95,"Regensberg",0,60,11,17,53,38,56,14,0,0,251
96,"Regensdorf",0,2209,829,1014,2495,1485,1527,221,20,11,9813
97,"Rümlang",0,888,362,525,1050,684,728,78,7,5,4329
98,"Schleinikon",0,88,34,55,123,70,115,8,0,0,496
99,"Schöfflisdorf",0,133,49,63,154,107,186,32,4,0,730
100,"Stadel",0,243,102,142,327,220,271,39,0,0,1346
101,"Steinmaur",0,356,127,188,467,301,356,65,6,0,1866
102,"Weiach",0,188,86,147,320,193,175,17,0,0,1127
111,"Bäretswil",0,561,224,312,625,445,531,71,0,0,2774
112,"Bubikon",4,837,268,370,901,632,853,158,11,5,4039
113,"Dürnten",6,953,320,423,937,586,816,111,5,0,4158
114,"Fischenthal",0,310,119,163,333,219,230,14,0,0,1392
115,"Gossau (ZH)",4,1190,411,556,1280,846,1054,208,12,0,5564
116,"Grüningen",0,435,154,203,516,336,385,70,4,0,2106
117,"Hinwil",0,1403,547,699,1633,993,1156,141,10,0,6586
118,"Rüti (ZH)",7,1753,667,833,1728,947,933,137,8,4,7017
119,"Seegräben",0,166,54,75,162,122,174,24,0,0,780
120,"Wald (ZH)",0,1437,589,659,1320,766,757,85,8,0,5626
121,"Wetzikon (ZH)",13,3296,1209,1537,3428,2023,2140,288,20,7,13961
131,"Adliswil",8,2065,756,993,2021,1301,1823,564,54,4,9589
135,"Kilchberg (ZH)",4,868,198,256,685,554,1093,629,142,48,4477
136,"Langnau am Albis",0,874,304,389,841,537,807,258,29,5,4046
137,"Oberrieden",0,538,162,196,530,362,631,266,38,9,2732
138,"Richterswil",6,1603,516,708,1547,1082,1438,415,46,9,7370
139,"Rüschlikon",4,609,152,174,448,347,660,364,75,26,2859
141,"Thalwil",8,1880,559,816,1939,1347,2086,811,105,20,9571
151,"Erlenbach (ZH)",0,654,129,163,356,353,617,381,89,34,2778
152,"Herrliberg",0,781,169,172,423,389,818,448,101,41,3345
153,"Hombrechtikon",8,1106,424,502,1086,680,840,158,16,5,4825
154,"Küsnacht (ZH)",11,1663,393,413,1033,829,1628,918,211,99,7198
155,"Männedorf",0,1343,366,452,1162,827,1426,491,41,16,6127
156,"Meilen",14,1539,411,526,1306,945,1760,862,107,45,7515
157,"Oetwil am See",0,541,215,267,636,394,410,56,0,0,2524
158,"Stäfa",15,1811,492,648,1658,1145,1786,539,54,22,8170
159,"Uetikon am See",6,761,198,259,589,447,766,284,39,13,3362
160,"Zumikon",0,626,127,170,458,297,574,323,85,35,2696
